time,open,high,low,close,Volume,Volume MA,RSI,Plot,Tops,Bottoms,Bearish Divergence2,Bullish Divergence2,Bullish Divergence2,Bearish Divergence2,Bearish Divergence2,Bullish Divergence2,Bearish Divergence2,Bullish Divergence2
1675209000,39.65,39.6593,39.65,39.6523,6898.16,7011.391000000071,35.67790021016464,-0.018802578363175865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675209300,39.6593,39.6593,39.65,39.6528,7456.78,7161.823000000069,36.70466788705635,-0.01753137141041157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675209600,39.6593,39.6593,39.65,39.6593,6353.12,7064.275500000069,48.266178254574086,-0.01563153192623527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675209900,39.6536,39.6573,39.6536,39.6573,6493.85,6886.05300000007,45.511533007054176,-0.013512278221664785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675210200,39.6593,39.6593,39.6563,39.6563,3529.7,6658.33200000007,44.15461515572096,-0.011999652642774684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675210500,39.6581,39.6593,39.655,39.655,8005.41,6712.68150000007,42.38541657206309,-0.010909134342166841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675210800,39.6572,39.6572,39.6552,39.6552,6135.52,6574.749000000071,42.76537027674019,-0.010041058104035537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675211100,39.6562,39.6593,39.655,39.655,7199.74,6723.39050000007,42.46379085593081,-0.009246513491574238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675211400,39.6593,39.6593,39.6569,39.6569,5935.99,6823.10350000007,46.33551761095199,-0.00834764462572031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675211700,39.6572,39.6593,39.6479,39.6479,9431.8,6785.1585000000705,34.494543146763206,-0.008262410329929717,NaN,-0.008262410329929717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675212000,39.6484,39.6493,39.6456,39.6456,3594.85,6364.294500000071,32.22793758787165,-0.009238090375804165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
