time,open,high,low,close,Volume,Volume MA,RSI,Plot,Tops,Bottoms,Bearish Divergence2,Bullish Divergence2,Bullish Divergence2,Bearish Divergence2,Bearish Divergence2,Bullish Divergence2,Bearish Divergence2,Bullish Divergence2
1675216500,39.86,39.87,39.86,39.87,16,367,48.809674109207144,-0.000492133901469497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675216800,39.88,39.88,39.85,39.85,314,363.65,44.766432167232615,-0.003529316966358216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675217400,39.85,39.9,39.85,39.85,1569,412.7,44.766432167232615,-0.00786952663505583,-0.00786952663505583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675217700,39.9,39.9,39.9,39.9,212,398.6,55.463192786500976,-0.006178522482230894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675218000,39.9,39.9,39.87,39.87,941,414.45,49.29462072411345,-0.0027824165814568664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675218300,39.87,39.9,39.87,39.89,470,417.8,53.04403933350896,-0.0010904495692650308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675218600,39.9,39.91,39.89,39.91,430,413.2,56.50749032833704,0.004248492368984176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675218900,39.9,39.91,39.88,39.88,304,410.8,50.49143312538893,0.007382636677744362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675219200,39.89,39.91,39.89,39.91,23,389.9,55.583929776926944,0.009753658016553063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675219500,39.92,39.92,39.92,39.92,19,361.6,57.1655668979881,0.015500049358137796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675219800,39.89,39.92,39.89,39.89,518,344.6,51.267437856093615,0.01782521511106886,NaN,0.01782521511106886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675220100,39.89,39.92,39.89,39.89,508,354.1,51.267437856093615,0.016443806081853207,0.016443806081853207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675220400,39.89,39.91,39.89,39.91,281,348.1,54.86778602982543,0.017173848623629934,NaN,0.017173848623629934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675220700,39.91,39.91,39.86,39.87,1517,410.45,47.33549849396394,0.015550310375384527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675221000,39.87,39.87,39.85,39.85,200,393.85,44.077288916153044,0.008101399411512963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675221300,39.91,39.91,39.88,39.91,159,398.6,54.25100391518281,0.006172918575366871,0.006172918575366871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675221600,39.88,39.88,39.88,39.88,5,390.15,49.41075671226847,0.007591662244760631,NaN,0.007591662244760631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
